#,Tag,Games with this tag,Votes for this tag,Tag weight,Price (median),Userscore (median),Owners (median),Playtime (median)
231,Games Workshop,29,"2,249",78,3.24  $,87%,"7,780,000",03:37
232,Otome,29,808,28,3.59  $,85%,"320,000",00:05
233,Audio Production,28,772,28,7.19  $,71%,"630,000",00:05
234,Politics,28,"1,305",47,3.49  $,78%,"950,000",04:02
235,Crowdfunded,28,"1,260",45,7.49  $,83%,"3,810,000",05:06
236,Character Action Game,27,"2,492",92,4.99  $,83.5%,"2,540,000",04:28
237,Trading,27,"9,021",334,2.49  $,77%,"2,220,000",03:28
238,Science,27,"4,751",176,2.99  $,88%,"3,490,000",03:43
239,Underwater,27,"4,687",174,3.49  $,86.5%,"1,900,000",04:10
240,Hunting,27,"4,832",179,5.99  $,70.5%,"1,590,000",03:38
241,Football,26,"1,835",71,2.49  $,70.5%,"630,000",00:46
242,Lore-Rich,25,"7,534",301,5.79  $,89.5%,"3,170,000",04:03
243,Satire,24,"2,376",99,4.49  $,87%,"3,170,000",01:27
244,Vampire,24,"1,694",71,2.49  $,76%,"1,270,000",04:09
245,Quick-Time Events,24,"4,506",188,4.44  $,80.5%,"6,190,000",07:30
246,Game Development,24,"1,032",43,6.59  $,88%,"320,000",00:00
247,FMV,24,446,19,2.99  $,78%,"950,000",00:36
